,Անուն ազգանուն կամ կազմակերպություն,Ջրօգտագործման թույլտվության տեսակ,Ջրօգտագործման թույլտվության գործողության սկիզբ,Ջրօգտագործման թույլտվության գործողության վերջ,Ջրավազան,Ջրային ռեսուրսի անվանում,Ջրային ռեսուրսի տիպ,"Ջրառի վայր (մարզ, համայնք, բնակավայր)","Ջրօգտագործման վայր (մարզ, համայնք, բնակավայր)",Ջրօգտագործման նպատակ,Ջրառի ծավալ(հազ մ3/ տարի),Ջրային ռեսուրսի անվանում,Ջրահեռացման ծավալ(հազ մ3/ տարի),Ջրահեռացման ծավալ(լ/վրկ),Թույլտվության ժամկետ (տարով),Ջրառի տարեկան ծավալ (հազ մ3/տար)
940,«Բարրի այգի»(ՍՊԸ),Նոր,2024-11-19,2027-11-19,Հրազդան,առվակից,Մակերևութային,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոտայք Ջրվեժ գ. Ձորաղբյուր,ոռոգում,30.36,Տվյալ չկա,22.976,45.0,3.0,10.12
941,Սմբատ Պետրոսյան,Նոր,2024-11-19,2027-11-19,Հրազդան,«Մագթաղ Դանիելյան» ԱՁ-ի ձկնաբուծարանից հեռացվող ջրեր,Ջրային Համակարգ,Արարատ Մասիս գ. Հովտաշատ,Արարատ Մասիս գ. Հովտաշատ,Ձկնաբուծական,1891.285,դրենաժային համակարգ՝ Հրազդան գետ,1702.165,54.0,3.0,630.43
942,«Վի Ընդ Էմ»(ՍՊԸ),Նոր,2024-11-19,2027-11-19,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Արարատ Մասիս գ. Նորամարգ,Արարատ Մասիս գ. Նորամարգ,ոռոգում,197.0,Տվյալ չկա,22.976,45.0,3.0,65.67
943,«Դրիմ Ռեսթ»(ՍՊԸ) «Արթուրս Աղվերան Ռեզորթ»,Նոր,2024-11-19,2027-11-19,Հրազդան,2 Անանուն աղբյուր,Ստորերկրյա,Կոտայք Չարենցավան գ. Արզական; Կոտայք Չարենցավան գ. Արզական,Կոտայք Չարենցավան գ. Արզական,Խմելու-կենցաղային,50.8,Դալար գետ,45.804,1.4,3.0,16.93
944,«Դրիմ Ռեսթ»(ՍՊԸ) «Արթուրս Աղվերան Ռեզորթ»,Նոր,2024-11-19,2027-11-19,Հրազդան,Դալար գետ,Մակերևութային,Կոտայք Չարենցավան գ. Արզական,Տվյալ չկա,Այլ /տեխնիկական/,15.427,Տվյալ չկա,22.976,45.0,3.0,5.14
945,Սուրեն Հակոբյան(Ֆիզ․ ԱՆՁ),Երկարաձգված,2024-11-19,2027-11-19,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Խմելու-կենցաղային / Արդյունաբերական գյուղատնտեսական /ոռոգում/,12.96,կոյուղու կոլեկտոր,6.72,0.26,3.0,4.32
946,«ՄԼ Մայնինգ»(ՍՊԸ) Արարատի մարզի Շահումյան համայնքի տեղամաս,Նոր,2024-11-20,2027-11-20,Արարատյան,1 գործող գրունտային խ․հ․,Ստորերկրյա,Արարատ Արտաշատ գ. Շահումյան,Արարատ Արտաշատ գ. Շահումյան,Արդյունաբերական,25.92,դրենաժային համակարգ այնուհետև Արաքս գետ,22.976,2.66,3.0,8.64
947,«ՄԼ Մայնինգ»(ՍՊԸ) Արմավիրի մարզի Մարգարա համայնքի 2-րդ տեղամաս,Նոր,2024-11-20,2027-11-20,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Արմավիր Մեծամոր գ. Մարգարա,Արդյունաբերական,25.92,Դրենաժային համակարգ այնուհետև ՝ Արաքս գետ,22.976,2.66,3.0,8.64
948,«ՄԼ Մայնինգ»(ՍՊԸ) Արմավիրի մարզի Մարգարա համայնքի արևմտյան տեղամաս,Նոր,2024-11-20,2027-11-20,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Արմավիր Մեծամոր գ. Մարգարա,Արդյունաբերական,25.92,Դրենաժային համակարգ այնուհետև ՝ Արաքս գետ,22.976,2.66,3.0,8.64
949,«ՄԼ Մայնինգ»(ՍՊԸ) Արարատի մարզի Արարատ համայնքի տեղամաս,Նոր,2024-11-20,2027-11-20,Արարատյան,1 գործող գրունտային խ․հ․,Ստորերկրյա,Արարատ Արարատ գ. Արարատ,Արարատ Արարատ գ. Արարատ,Արդյունաբերական,25.92,դրենաժային համակարգ այնուհետև Արաքս գետ,22.976,2.66,3.0,8.64
950,«ՄԼ Մայնինգ»(ՍՊԸ) Արմավիրի մարզի Մարգարա համայնքի 3-րդ տեղամաս,Նոր,2024-11-20,2027-11-20,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Մեծամոր գ. Մարգարա,Արմավիր Մեծամոր գ. Մարգարա,Արդյունաբերական,25.92,Դրենաժային համակարգ այնուհետև ՝ Արաքս գետ,22.976,2.66,3.0,8.64
951,«ՄԼ Մայնինգ»(ՍՊԸ) Արմավիրի մարզի Արաքս համայնքի տեղամաս,Նոր,2024-11-20,2027-11-20,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Արաքս գ. Արաքս (Արմավիրի շրջ.);,Արմավիր Արաքս գ. Արաքս (Արմավիրի շրջ.);,Արդյունաբերական,25.92,Դրենաժային համակարգ այնուհետև ՝ Արաքս գետ,22.976,2.66,3.0,8.64
952,«ՄԼ Մայնինգ»(ՍՊԸ) Արարատի մարզի Շահումյան համայնքի Երասխ տեղամաս,Նոր,2024-11-20,2027-11-20,Արարատյան,1 գործող գրունտային խ․հ․,Ստորերկրյա,Արարատ Արտաշատ գ. Շահումյան,Արարատ Արտաշատ գ. Շահումյան,Արդյունաբերական,25.92,դրենաժային համակարգ այնուհետև Արաքս գետ,22.976,2.66,3.0,8.64
953,«Արգիկ»(ԲԲԸ),Նոր,2024-11-20,2027-11-20,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Շիրակ Ախուրյան գ. Ախուրյան,Շիրակ Ախուրյան գ. Ախուրյան,Արդյունաբերական,17.325,Անանուն վտակ՝ Կարմրաքար գետի,3.069,0.36,3.0,5.78
954,«Ռոզ Արտ»(ՍՊԸ),Նոր,2024-11-19,2027-11-19,Արարատյան,Կարմիր գետի ձախ ափին գտնվող 3 անանուն աղբյուր,Ստորերկրյա,Կոտայք Գառնի գ. Գողթ,Տվյալ չկա,ոռոգում,602.25,Տվյալ չկա,22.976,45.0,3.0,200.75
955,«Ռոզ Արտ»(ՍՊԸ),Նոր,2024-11-19,2027-11-19,Արարատյան,Կարմիր գետի ձախ ափին գտնվող 3 անանուն աղբյուր,Ստորերկրյա,Կոտայք Գառնի գ. Գողթ; Կոտայք Գառնի գ. Գողթ,Կոտայք Գառնի գ. Գողթ,Խմելու-կենցաղային,59.923,ջրանթափանց հոր այնուհետև կոյուղու կոլեկտոր,22.976,152.5,3.0,19.97
956,«Արտաշատ»(ՋՕԸ),Երկարաձգված և Վերաձևակերպված,2024-11-19,2027-11-19,Արարատյան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Արտաշատ գ. Այգեպատ,Արարատ Արտաշատ գ. Այգեպատ,ոռոգում,354.4,Տվյալ չկա,22.976,45.0,3.0,118.13
957,«Գազպրոմ Արմենիա»(ՓԲԸ) «Հրազդան-5» Հիմնարկ,Երկարաձգված,2024-11-20,2027-11-20,Հրազդան,Մարմարիկ գետ կամ Ախպարայի ջրամբար,Մակերևութային,Կոտայք Հրազդան ք. Հրազդան,Կոտայք Հրազդան ք. Հրազդան,Արդյունաբերական,675.376,Մարմարիկ գետ,199.596,6.3,3.0,225.13
958,«Գազպրոմ Արմենիա»(ՓԲԸ) «Հրազդան-5» Հիմնարկ,Երկարաձգված,2024-11-20,2027-11-20,Հրազդան,«ՀրազՋԷԿ» ՓԲԸ-ի հաշվեկշռում գտնվող 1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Հրազդան ք. Հրազդան,Տվյալ չկա,Խմելու-կենցաղային,3.468,կոյուղու կոլեկտոր,37.078,1.17,3.0,1.16
959,"""""""Հայասի Գրուպ""""(ՍՊԸ)""",Նոր,2024-11-20,2027-11-20,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Արագածոտն Աշտարակ գ. Ոսկեվազ,Արագածոտն Աշտարակ գ. Ոսկեվազ,Արդյունաբերական,259.2,"""առվակ",22.976,208.544,3.0,86.4
960,«ՄԼ Մայնինգ»(ՍՊԸ),Նոր,2024-11-20,2027-11-20,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Արզնի գ. Արզնի,Կոտայք Արզնի գ. Արզնի,Արդյունաբերական,13.806,ջրանթափանց հոր՝ այնուհետև կոյուղու կոլեկտոր,44.928,5.0,3.0,4.6
961,Միքայել Սարգսյան(Ֆիզ․ ԱՆՁ),Նոր,2024-11-20,2027-11-20,Հրազդան,դրենաժային համակարգ,Ջրային Համակարգ,Արարատ Մասիս գ. Սիս,Արարատ Մասիս գ. Սիս,Ձկնաբուծական,315.56,դրենաժային համակարգ՝ այնուհետև Հրազդան գետ,284.004,9.0,3.0,105.19
962,«ՌՌՌ» Հանքային ջրերի գործարան»(ՓԲԸ),Երկարաձգված,2024-11-20,2027-11-20,Հրազդան,«Ալափարս» բնական աղբյուր,Ստորերկրյա,Կոտայք Չարենցավան գ. Ալափարս,Կոտայք Չարենցավան ք. Չարենցավան,Խմելու-կենցաղային / Արդյունաբերական /շշալցում/,259.231,քաղաքային կոյուղու կոլեկտոր,92.881,3.58,3.0,86.41
963,«Ապարանի «Արագած»(ՍՊԸ),Վերանայված,2024-11-22,2026-02-16,Հրազդան,«Սալով» կոչվող բնական աղբյուր,Ստորերկրյա,Արագածոտն Ապարան գ. Արագած (Ապարանի շրջ.);,Արագածոտն Ապարան գ. Արագած (Ապարանի շրջ.);,Խմելու-կենցաղային,15.8,հարակից առվով Գեղարոտ գետ,14.9,1.4,1.24,12.74
964,«Բի Սի Սի»(ՓԲԸ),Նոր,2024-11-20,2027-11-20,Հրազդան,1 գործող խ․հ․,Ստորերկրյա,Կոտայք Չարենցավան գ. Արզական,Կոտայք Չարենցավան գ. Արզական,Կոմունալ-կենցաղային,38.698,"""ջրանթափանց հոր",22.976,33.088,3.0,12.9
965,«Գրին Լենդ Ինվեսթմենթ»(ՓԲԸ),Նոր,2024-11-19,2027-11-19,Արարատյան,Կարմիր գետի ձախ ափին գտնվող 3 անանուն աղբյուր,Ստորերկրյա,Կոտայք Գառնի գ. Գողթ; Կոտայք Գառնի գ. Գողթ,Կոտայք Գառնի գ. Գողթ,Խմելու-կենցաղային,84.315,ջրանթափանց հոր այնուհետև կոյուղու կոլեկտոր,77.7,3.7,3.0,28.1
966,«Գրին Լենդ Ինվեսթմենթ»(ՓԲԸ),Նոր,2024-11-19,2027-11-19,Արարատյան,Կարմիր գետի ձախ ափին գտնվող 3 անանուն աղբյուր,Ստորերկրյա,Կոտայք Գառնի գ. Գողթ,Տվյալ չկա,ոռոգում,96.762,Տվյալ չկա,22.976,45.0,3.0,32.25
967,«Ջրառ»(ՓԲԸ) Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Հրազդան,Հրազդան գետ՝ Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցքից -Երքաղխորհրդի դյուկեր,Ջրային Համակարգ,Կոտայք Արզնի գ. Արզնի,Տվյալ չկա,ոռոգում,1240.0,Տվյալ չկա,22.976,45.0,3.0,413.33
968,«Ջրառ»(ՓԲԸ) Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Հրազդան,Հրազդան գետ՝ Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցքից - Արաբկիրի ջրատար,Ջրային Համակարգ,Կոտայք Արզնի գ. Արզնի,Տվյալ չկա,ոռոգում,454.0,Տվյալ չկա,22.976,45.0,3.0,151.33
969,«Ջրառ»(ՓԲԸ) Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցք,Երկարաձգված և Վերանայված,2024-10-08,2027-10-08,Հրազդան,Հրազդան գետ՝ Քանաքեռ ՀԷԿ-ի դերիվացիոն ջրանցքից - Քանաքեռի ջրհան կայան,Ջրային Համակարգ,Կոտայք Արզնի գ. Արզնի,Տվյալ չկա,ոռոգում,5370.0,Տվյալ չկա,22.976,45.0,3.0,1790.0
970,Գեղարքունիքի մարզ Ճամբարակ համայնք(ՏԻՄ) Վահան բնակավայր,Նոր,2024-11-29,2027-11-29,Հյուսիսային,«Վահանի ջրաղբյուր» կոչվող բնական աղբյուր,Ստորերկրյա,Գեղարքունիք Ճամբարակ գ. Վահան,Գեղարքունիք Ճամբարակ գ. Վահան,Խմելու-կենցաղային,147.737,Տվյալ չկա,22.976,45.0,3.0,49.25
971,«Ակվանար»(ՍՊԸ),Նոր,2024-11-29,2027-11-29,Հրազդան,«Ֆարել Ֆիշ» ՍՊԸ-ի ձկնաբուծարանից հեռացվող ջրեր,Ջրային Համակարգ,Արարատ Մասիս գ. Նորամարգ,Արարատ Մասիս գ. Նորամարգ,Ձկնաբուծական,4397.958,"""դրենաժային համակարգ",22.976,3958.134,3.0,1465.99
972,«ՍԱՀԱԿ-1»(ՍՊԸ),Երկարաձգված,2024-12-06,2027-12-06,Ախուրյան,1 գործող գրունտային հոր,Ստորերկրյա,Արմավիր Արաքս գ. Ապագա,Արմավիր Արաքս գ. Ապագա,Արդյունաբերական,57.605,Ջրանթափանց հոր այնուհետև կոյուղու կոլեկտոր,39.785,5.53,3.0,19.2
973,«Սիս-ալկո»(ՍՊԸ) Մասիսի գինու կոնյակի գործարան,Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Մասիս գ. Հայանիստ,Տվյալ չկա,ոռոգում,25.92,Տվյալ չկա,22.976,45.0,3.0,8.64
974,«Սիս-ալկո»(ՍՊԸ) Մասիսի գինու կոնյակի գործարան,Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Արարատ Մասիս գ. Հայանիստ,Արարատ Մասիս գ. Հայանիստ,Արդյունաբերական,225.6,ջրանթափանց հոր-կոյուղու կոլեկտոր,179.07,17.0,3.0,75.2
975,Սաթենիկ Զորիկի Գալստյան(Ֆիզ․ ԱՆՁ),Նոր,2024-12-06,2027-12-06,Հրազդան,Հրազդան գետ,Մակերևութային,Կոտայք Աբովյան գ. Պտղնի,Կոտայք Աբովյան գ. Պտղնի,Ձկնաբուծական,3200.0,Հրազդան գետ,3194.0,101.3,3.0,1066.67
976,«Սիրկապ Արմենիա»(ՓԲԸ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Տվյալ չկա,ոռոգում,95.962,Տվյալ չկա,22.976,45.0,3.0,31.99
977,«Սիրկապ Արմենիա»(ՓԲԸ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Կոտայք Ջրվեժ գ. Ձորաղբյուր,Խմելու-կենցաղային,204.286,ջրանթափանց հոր -կոյուղու կոլեկտոր,181.03,5.74,3.0,68.1
978,Լիանա Մկրտչյան(Ֆիզ․ ԱՆՁ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող գրունտային հոր,Ստորերկրյա,Կոտայք Աբովյան գ. Կամարիս,Տվյալ չկա,ոռոգում,7.92,Տվյալ չկա,22.976,45.0,3.0,2.64
979,Լիանա Մկրտչյան(Ֆիզ․ ԱՆՁ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող գրունտային հոր,Ստորերկրյա,Կոտայք Աբովյան գ. Կամարիս,Տվյալ չկա,ջրարբիացում,14.454,Տվյալ չկա,22.976,45.0,3.0,4.82
980,Լիանա Մկրտչյան(Ֆիզ․ ԱՆՁ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող գրունտային հոր,Ստորերկրյա,Կոտայք Աբովյան գ. Կամարիս,Կոտայք Աբովյան գ. Կամարիս,Խմելու-կենցաղային,1.0189,ջրանթափանց հոր -կոյուղու կոլեկտոր,13.875,0.66,3.0,0.34
981,Գառնիի համայնքապետարան(ՏԻՄ) Գառնի բնակավայր,Նոր,2024-12-06,2027-12-06,Արարատյան,Գոհար աղբյուր,Ստորերկրյա,Կոտայք Գառնի գ. Գառնի,Կոտայք Գառնի գ. Գառնի,Խմելու-կենցաղային,305.505,Տվյալ չկա,22.976,45.0,3.0,101.84
982,«Մլ Մայնինգ»(ՍՊԸ) Արարատի մարզի Արարատ համայնքի Վանինայի ավազի տեղամաս,Նոր,2024-12-06,2027-12-06,Արարատյան,1 գործող խ․հ․,Ստորերկրյա,Արարատ Արարատ գ. Արարատ,Արարատ Արարատ գ. Արարատ,Արդյունաբերական,25.92,Արաքս գետ,22.976,2.66,3.0,8.64
983,«Սիսիան Շիկ»(ՓԲԸ),Նոր,2024-12-06,2027-12-06,Հարավային,3 գործող խ․հ․,Ստորերկրյա,Սյունիք Սիսիան գ. Շաքի; Սյունիք Սիսիան գ. Շաքի,Սյունիք Սիսիան գ. Շաքի,Արդյունաբերական,42.5656,"""ջրանթափանց հոր",22.976,36.0668,3.0,14.19
984,«Պատ Գրուպ»(ՍՊԸ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր,Ստորերկրյա,Երևան Շենգավիթ,Երևան Շենգավիթ,Արդյունաբերական,49.408,կոյուղու կոլեկտոր,14.658,1.7,3.0,16.47
985,«Բիալկա»(ՍՊԸ),Նոր,2024-12-06,2027-12-06,Հրազդան,1 գործող խորքային հոր.,Ստորերկրյա,Կոտայք Աբովյան ք. Աբովյան,Կոտայք Աբովյան ք. Աբովյան,Արդյունաբերական,125.965,քաղաքային կոյուղու կոլեկտոր,101.202,4.81,3.0,41.99
986,«Ատոմաշեն»(ՍՊԸ),Նոր,2024-12-06,2027-12-06,Սևան,1 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք Գավառ գ. Նորատուս,Տվյալ չկա,ոռոգում,1.2,Տվյալ չկա,22.976,45.0,3.0,0.4
987,«Ատոմաշեն»(ՍՊԸ),Նոր,2024-12-06,2027-12-06,Սևան,1 գործող խորքային հոր.,Ստորերկրյա,Գեղարքունիք Գավառ գ. Նորատուս,Գեղարքունիք Գավառ գ. Նորատուս,Արդյունաբերական,2.29,"""ջրանթափանց հոր",22.976,0.734,3.0,0.76
